[RUN ] 7b_temp_0_1 (temp=0.1, agents=5)
[RUN ] 7b_temp_0_3 (temp=0.3, agents=5)
[RUN ] 7b_temp_0_5 (temp=0.5, agents=5)
[RUN ] 7b_temp_0_7 (temp=0.7, agents=5)
[RUN ] 7b_temp_0_9 (temp=0.9, agents=5)
[RUN ] 7b_temp_1_1 (temp=1.1, agents=5)
[RUN ] 7b_temp_1_3 (temp=1.3, agents=5)
[RUN ] 7b_temp_1_5 (temp=1.5, agents=5)
[RUN ] 7b_pop_n3 (temp=0.1, agents=3)
[RUN ] 7b_pop_n4 (temp=0.1, agents=4)
[RUN ] 7b_pop_n5 (temp=0.1, agents=5)
[RUN ] 7b_pop_n6 (temp=0.1, agents=6)
[RUN ] 7b_pop_n7 (temp=0.1, agents=7)
[RUN ] 7b_pop_n8 (temp=0.1, agents=8)
[RUN ] 7b_pop_n9 (temp=0.1, agents=9)
[RUN ] 7b_pop_n10 (temp=0.1, agents=10)
[RUN ] 3b_temp_0_1 (temp=0.1, agents=5)
[RUN ] 3b_temp_0_3 (temp=0.3, agents=5)
[RUN ] 3b_temp_0_5 (temp=0.5, agents=5)
[RUN ] 3b_temp_0_7 (temp=0.7, agents=5)
[RUN ] 3b_temp_0_9 (temp=0.9, agents=5)
[RUN ] 3b_temp_1_1 (temp=1.1, agents=5)
[RUN ] 3b_temp_1_3 (temp=1.3, agents=5)
[RUN ] 3b_temp_1_5 (temp=1.5, agents=5)
[RUN ] 3b_pop_n3 (temp=0.1, agents=3)
[RUN ] 3b_pop_n4 (temp=0.1, agents=4)
[RUN ] 3b_pop_n5 (temp=0.1, agents=5)
[RUN ] 3b_pop_n6 (temp=0.1, agents=6)
[RUN ] 3b_pop_n7 (temp=0.1, agents=7)
[RUN ] 3b_pop_n8 (temp=0.1, agents=8)
[RUN ] 3b_pop_n9 (temp=0.1, agents=9)
[RUN ] 3b_pop_n10 (temp=0.1, agents=10)
ALL SWEEPS COMPLETE
